reference_dcp	iter	base_before_dcp	net_name	sink_cell	target_slice	split_name	buffer_name	sink_pin_cmd	resolved_sink_pin	baseline_ps	eco_total_ps	delta_total_ps	eco_seg1_ps	eco_seg2_ps	lut_delay_ps
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0001	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0001/base_before.dcp	f[88]_INST_0_i_2_n_0	f[88]_INST_0_i_1	SLICE_X45Y529										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0002	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0002/base_before.dcp	f[88]_INST_0_i_2/O	f[88]_INST_0_i_1	SLICE_X45Y529				I0	2914.6	6737.801	3823.201	3136.4	3566.401	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0003	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0003/base_before.dcp	f[87]_INST_0_i_2_n_0	f[88]_INST_0_i_1	SLICE_X45Y530										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0004	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0004/base_before.dcp	f[87]_INST_0_i_2/O	f[88]_INST_0_i_1	SLICE_X45Y530				I3	2906.7	6490.701	3584.001	2958.0	3497.702	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0005	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0005/base_before.dcp	f[88]_INST_0_i_3_n_0	f[88]_INST_0_i_1	SLICE_X45Y568										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0006	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0006/base_before.dcp	f[88]_INST_0_i_3/O	f[88]_INST_0_i_1	SLICE_X45Y568				I1	2034.5	4138.2	2103.7	1573.5	2529.7	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0007	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0007/base_before.dcp	f[87]_INST_0_i_3_n_0	f[88]_INST_0_i_1	SLICE_X45Y569										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0008	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0008/base_before.dcp	f[87]_INST_0_i_3/O	f[88]_INST_0_i_1	SLICE_X45Y569				I2	2006.9	4033.4	2026.5	1468.9	2529.5	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0009	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0009/base_before.dcp	f[97]_INST_0_i_2_n_0	f[97]_INST_0_i_1	SLICE_X45Y469										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0010	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0010/base_before.dcp	f[97]_INST_0_i_2/O	f[97]_INST_0_i_1	SLICE_X45Y469				I0	2615.7	4818.099	2202.399	2633.8	2149.299	
